BHK,Rent,Size,Area Type,City,Furnishing Status,Bathroom,Size_per_BHK,Bathroom_per_BHK,Total_rooms
2,12000,950,Carpet Area,Kolkata,Unfurnished,2,475.0,1.0,4
2,18000,600,Super Area,Kolkata,Semi-Furnished,2,300.0,1.0,4
2,8000,750,Carpet Area,Kolkata,Semi-Furnished,2,375.0,1.0,4
2,12000,1000,Super Area,Kolkata,Unfurnished,2,500.0,1.0,4
1,5200,750,Super Area,Kolkata,Unfurnished,1,750.0,1.0,2
2,9000,900,Super Area,Kolkata,Unfurnished,2,450.0,1.0,4
1,24000,710,Super Area,Kolkata,Furnished,1,710.0,1.0,2
1,5500,400,Carpet Area,Kolkata,Unfurnished,1,400.0,1.0,2
1,10000,700,Carpet Area,Kolkata,Unfurnished,1,700.0,1.0,2
1,4700,250,Super Area,Kolkata,Furnished,1,250.0,1.0,2
1,5000,500,Carpet Area,Kolkata,Semi-Furnished,1,500.0,1.0,2
1,5000,500,Carpet Area,Kolkata,Semi-Furnished,1,500.0,1.0,2
1,13000,500,Carpet Area,Kolkata,Furnished,1,500.0,1.0,2
1,6000,450,Super Area,Kolkata,Unfurnished,1,450.0,1.0,2
2,7000,500,Carpet Area,Kolkata,Unfurnished,2,250.0,1.0,4
1,3000,200,Super Area,Kolkata,Unfurnished,1,200.0,1.0,2
2,25000,1000,Super Area,Kolkata,Furnished,2,500.0,1.0,4
2,12500,680,Carpet Area,Kolkata,Unfurnished,2,340.0,1.0,4
2,8500,720,Carpet Area,Kolkata,Unfurnished,2,360.0,1.0,4
1,3000,160,Super Area,Kolkata,Unfurnished,1,160.0,1.0,2
2,14000,1200,Carpet Area,Kolkata,Unfurnished,2,600.0,1.0,4
1,18000,700,Super Area,Kolkata,Furnished,1,700.0,1.0,2
2,16000,1250,Super Area,Kolkata,Unfurnished,2,625.0,1.0,4
1,4500,450,Super Area,Kolkata,Unfurnished,1,450.0,1.0,2
2,15000,839,Super Area,Kolkata,Semi-Furnished,2,419.5,1.0,4
1,4500,230,Super Area,Kolkata,Unfurnished,1,230.0,1.0,2
2,8500,800,Super Area,Kolkata,Unfurnished,2,400.0,1.0,4
1,5000,500,Carpet Area,Kolkata,Semi-Furnished,1,500.0,1.0,2
1,7500,550,Super Area,Kolkata,Semi-Furnished,1,550.0,1.0,2
2,7000,450,Carpet Area,Kolkata,Furnished,2,225.0,1.0,4
2,7000,600,Super Area,Kolkata,Semi-Furnished,2,300.0,1.0,4
2,12000,900,Super Area,Kolkata,Unfurnished,2,450.0,1.0,4
3,12000,1000,Super Area,Kolkata,Semi-Furnished,3,333.3333333333333,1.0,6
3,25000,1400,Carpet Area,Kolkata,Furnished,3,466.6666666666667,1.0,6
1,6000,320,Carpet Area,Kolkata,Unfurnished,1,320.0,1.0,2
1,5500,500,Carpet Area,Kolkata,Unfurnished,1,500.0,1.0,2
1,6000,130,Carpet Area,Kolkata,Semi-Furnished,1,130.0,1.0,2
1,15000,505,Super Area,Kolkata,Furnished,1,505.0,1.0,2
1,5000,700,Carpet Area,Kolkata,Unfurnished,1,700.0,1.0,2
1,6500,650,Super Area,Kolkata,Semi-Furnished,1,650.0,1.0,2
1,6500,350,Carpet Area,Kolkata,Semi-Furnished,1,350.0,1.0,2
1,1500,200,Super Area,Kolkata,Semi-Furnished,1,200.0,1.0,2
3,25000,1100,Super Area,Kolkata,Unfurnished,3,366.6666666666667,1.0,6
1,7000,800,Carpet Area,Kolkata,Unfurnished,1,800.0,1.0,2
1,3500,200,Super Area,Kolkata,Semi-Furnished,1,200.0,1.0,2
2,14000,900,Carpet Area,Kolkata,Unfurnished,2,450.0,1.0,4
2,15000,1500,Super Area,Kolkata,Unfurnished,2,750.0,1.0,4
2,10500,800,Carpet Area,Kolkata,Unfurnished,2,400.0,1.0,4
1,5000,350,Carpet Area,Kolkata,Semi-Furnished,1,350.0,1.0,2
2,20000,1600,Carpet Area,Kolkata,Unfurnished,2,800.0,1.0,4
1,3000,500,Super Area,Kolkata,Semi-Furnished,1,500.0,1.0,2
1,9000,450,Carpet Area,Kolkata,Unfurnished,1,450.0,1.0,2
1,7000,350,Carpet Area,Kolkata,Unfurnished,1,350.0,1.0,2
1,9000,450,Carpet Area,Kolkata,Unfurnished,1,450.0,1.0,2
1,9000,550,Carpet Area,Kolkata,Semi-Furnished,1,550.0,1.0,2
1,5000,500,Super Area,Kolkata,Semi-Furnished,1,500.0,1.0,2
1,14000,320,Carpet Area,Kolkata,Furnished,1,320.0,1.0,2
1,3200,220,Super Area,Kolkata,Unfurnished,1,220.0,1.0,2
2,8500,700,Carpet Area,Kolkata,Semi-Furnished,2,350.0,1.0,4
2,14000,800,Carpet Area,Kolkata,Unfurnished,2,400.0,1.0,4
1,8000,300,Carpet Area,Kolkata,Furnished,1,300.0,1.0,2
1,8000,600,Super Area,Kolkata,Furnished,1,600.0,1.0,2
1,3000,350,Super Area,Kolkata,Unfurnished,1,350.0,1.0,2
1,3800,500,Carpet Area,Kolkata,Unfurnished,1,500.0,1.0,2
1,6500,400,Super Area,Kolkata,Unfurnished,1,400.0,1.0,2
3,20000,1750,Super Area,Kolkata,Semi-Furnished,3,583.3333333333334,1.0,6
1,8000,300,Carpet Area,Kolkata,Semi-Furnished,1,300.0,1.0,2
2,14000,1100,Super Area,Kolkata,Semi-Furnished,2,550.0,1.0,4
2,7000,600,Carpet Area,Kolkata,Semi-Furnished,2,300.0,1.0,4
2,8500,1250,Carpet Area,Kolkata,Unfurnished,2,625.0,1.0,4
2,7500,550,Carpet Area,Kolkata,Furnished,2,275.0,1.0,4
2,6000,960,Super Area,Kolkata,Semi-Furnished,2,480.0,1.0,4
2,5500,650,Carpet Area,Kolkata,Unfurnished,2,325.0,1.0,4
1,7000,550,Super Area,Kolkata,Semi-Furnished,1,550.0,1.0,2
2,7000,500,Super Area,Kolkata,Semi-Furnished,2,250.0,1.0,4
1,6500,450,Super Area,Kolkata,Unfurnished,1,450.0,1.0,2
2,10000,850,Super Area,Kolkata,Unfurnished,2,425.0,1.0,4
1,5200,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
1,5000,150,Carpet Area,Kolkata,Unfurnished,1,150.0,1.0,2
1,8000,800,Carpet Area,Kolkata,Unfurnished,1,800.0,1.0,2
2,8000,700,Super Area,Kolkata,Unfurnished,2,350.0,1.0,4
1,5000,420,Super Area,Kolkata,Unfurnished,1,420.0,1.0,2
2,8000,900,Super Area,Kolkata,Unfurnished,2,450.0,1.0,4
2,21000,850,Carpet Area,Kolkata,Unfurnished,2,425.0,1.0,4
1,5000,350,Carpet Area,Kolkata,Unfurnished,1,350.0,1.0,2
1,5000,322,Carpet Area,Kolkata,Unfurnished,1,322.0,1.0,2
2,12000,957,Carpet Area,Kolkata,Furnished,2,478.5,1.0,4
1,6500,850,Carpet Area,Kolkata,Unfurnished,1,850.0,1.0,2
2,10000,900,Carpet Area,Kolkata,Unfurnished,2,450.0,1.0,4
1,5000,350,Carpet Area,Kolkata,Semi-Furnished,1,350.0,1.0,2
2,10000,700,Carpet Area,Kolkata,Semi-Furnished,2,350.0,1.0,4
2,22000,1200,Super Area,Kolkata,Semi-Furnished,2,600.0,1.0,4
3,35000,1200,Super Area,Kolkata,Semi-Furnished,3,400.0,1.0,6
1,6000,400,Super Area,Kolkata,Unfurnished,1,400.0,1.0,2
1,5000,450,Carpet Area,Kolkata,Unfurnished,1,450.0,1.0,2
1,5000,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
3,8000,1200,Super Area,Kolkata,Unfurnished,3,400.0,1.0,6
1,5500,400,Super Area,Kolkata,Unfurnished,1,400.0,1.0,2
2,11000,1000,Super Area,Kolkata,Furnished,2,500.0,1.0,4
2,6500,800,Carpet Area,Kolkata,Unfurnished,2,400.0,1.0,4
2,8500,850,Carpet Area,Kolkata,Unfurnished,2,425.0,1.0,4
1,6500,650,Carpet Area,Kolkata,Furnished,1,650.0,1.0,2
1,6500,800,Carpet Area,Kolkata,Unfurnished,1,800.0,1.0,2
1,6000,200,Carpet Area,Kolkata,Unfurnished,1,200.0,1.0,2
1,10000,400,Carpet Area,Kolkata,Unfurnished,1,400.0,1.0,2
1,12000,500,Super Area,Kolkata,Furnished,1,500.0,1.0,2
2,9000,1000,Super Area,Kolkata,Furnished,2,500.0,1.0,4
1,5000,400,Carpet Area,Kolkata,Semi-Furnished,1,400.0,1.0,2
1,6000,300,Carpet Area,Kolkata,Unfurnished,1,300.0,1.0,2
2,8500,1100,Carpet Area,Kolkata,Unfurnished,2,550.0,1.0,4
1,5000,450,Super Area,Kolkata,Unfurnished,1,450.0,1.0,2
2,23000,1100,Carpet Area,Kolkata,Unfurnished,2,550.0,1.0,4
1,5500,800,Super Area,Kolkata,Unfurnished,1,800.0,1.0,2
1,5000,400,Carpet Area,Kolkata,Unfurnished,1,400.0,1.0,2
1,5000,450,Carpet Area,Kolkata,Unfurnished,1,450.0,1.0,2
1,5500,200,Super Area,Kolkata,Unfurnished,1,200.0,1.0,2
1,5500,450,Carpet Area,Kolkata,Unfurnished,1,450.0,1.0,2
2,10000,1050,Super Area,Kolkata,Unfurnished,2,525.0,1.0,4
2,10000,1200,Super Area,Kolkata,Semi-Furnished,2,600.0,1.0,4
1,5200,220,Super Area,Kolkata,Unfurnished,1,220.0,1.0,2
1,4000,350,Super Area,Kolkata,Unfurnished,1,350.0,1.0,2
1,7000,500,Super Area,Kolkata,Unfurnished,1,500.0,1.0,2
3,15000,1200,Super Area,Kolkata,Unfurnished,3,400.0,1.0,6
2,12500,1250,Super Area,Kolkata,Semi-Furnished,2,625.0,1.0,4
1,9500,600,Carpet Area,Kolkata,Unfurnished,1,600.0,1.0,2
1,6500,400,Carpet Area,Kolkata,Semi-Furnished,1,400.0,1.0,2
1,7500,600,Carpet Area,Kolkata,Furnished,1,600.0,1.0,2
1,1800,500,Super Area,Kolkata,Semi-Furnished,1,500.0,1.0,2
2,10000,800,Super Area,Kolkata,Semi-Furnished,2,400.0,1.0,4
2,14000,1200,Super Area,Kolkata,Semi-Furnished,2,600.0,1.0,4
2,22000,1000,Super Area,Kolkata,Furnished,2,500.0,1.0,4
2,18000,750,Carpet Area,Kolkata,Unfurnished,2,375.0,1.0,4
2,10000,800,Carpet Area,Kolkata,Unfurnished,2,400.0,1.0,4
2,6000,1200,Super Area,Kolkata,Unfurnished,2,600.0,1.0,4
1,5000,300,Super Area,Kolkata,Unfurnished,1,300.0,1.0,2
2,7000,450,Super Area,Kolkata,Unfurnished,2,225.0,1.0,4
2,6000,500,Super Area,Kolkata,Semi-Furnished,2,250.0,1.0,4
2,18000,900,Carpet Area,Kolkata,Semi-Furnished,2,450.0,1.0,4
2,13000,650,Carpet Area,Kolkata,Semi-Furnished,2,325.0,1.0,4
2,20000,700,Carpet Area,Kolkata,Semi-Furnished,2,350.0,1.0,4
2,12000,1000,Super Area,Kolkata,Unfurnished,2,500.0,1.0,4
1,10000,400,Carpet Area,Kolkata,Semi-Furnished,1,400.0,1.0,2
2,14000,700,Carpet Area,Kolkata,Unfurnished,2,350.0,1.0,4
2,10000,850,Carpet Area,Kolkata,Semi-Furnished,2,425.0,1.0,4
2,10500,558,Carpet Area,Kolkata,Unfurnished,2,279.0,1.0,4
2,12000,900,Carpet Area,Kolkata,Unfurnished,2,450.0,1.0,4
1,3700,150,Carpet Area,Kolkata,Unfurnished,1,150.0,1.0,2
1,2200,700,Super Area,Kolkata,Unfurnished,1,700.0,1.0,2
1,3300,175,Super Area,Kolkata,Unfurnished,1,175.0,1.0,2
1,5000,450,Super Area,Kolkata,Semi-Furnished,1,450.0,1.0,2
3,60000,1700,Carpet Area,Kolkata,Semi-Furnished,3,566.6666666666666,1.0,6
3,7000,900,Super Area,Kolkata,Semi-Furnished,3,300.0,1.0,6
1,5000,400,Carpet Area,Kolkata,Unfurnished,1,400.0,1.0,2
2,10000,721,Super Area,Kolkata,Furnished,2,360.5,1.0,4
2,45000,1320,Super Area,Kolkata,Furnished,2,660.0,1.0,4
1,5000,250,Carpet Area,Kolkata,Unfurnished,1,250.0,1.0,2
2,12000,720,Super Area,Kolkata,Unfurnished,2,360.0,1.0,4
3,18000,850,Carpet Area,Kolkata,Semi-Furnished,3,283.3333333333333,1.0,6
2,25000,1050,Carpet Area,Kolkata,Unfurnished,2,525.0,1.0,4
1,25000,320,Super Area,Mumbai,Semi-Furnished,1,320.0,1.0,2
1,45000,450,Carpet Area,Mumbai,Furnished,1,450.0,1.0,2
1,14000,640,Super Area,Mumbai,Furnished,1,640.0,1.0,2
1,60000,650,Super Area,Mumbai,Unfurnished,1,650.0,1.0,2
1,22000,460,Super Area,Mumbai,Unfurnished,1,460.0,1.0,2
1,49000,620,Super Area,Mumbai,Furnished,1,620.0,1.0,2
2,28000,518,Carpet Area,Mumbai,Semi-Furnished,2,259.0,1.0,4
2,33500,700,Carpet Area,Mumbai,Semi-Furnished,2,350.0,1.0,4
2,35000,650,Carpet Area,Mumbai,Unfurnished,2,325.0,1.0,4
1,22000,270,Super Area,Mumbai,Unfurnished,1,270.0,1.0,2
2,60000,888,Carpet Area,Mumbai,Semi-Furnished,2,444.0,1.0,4
2,8000,650,Carpet Area,Mumbai,Semi-Furnished,2,325.0,1.0,4
1,20000,275,Carpet Area,Mumbai,Unfurnished,1,275.0,1.0,2
2,20000,700,Carpet Area,Mumbai,Semi-Furnished,2,350.0,1.0,4
1,25000,375,Super Area,Mumbai,Unfurnished,1,375.0,1.0,2
1,14000,424,Super Area,Mumbai,Semi-Furnished,1,424.0,1.0,2
1,23000,450,Carpet Area,Mumbai,Furnished,1,450.0,1.0,2
2,44000,722,Carpet Area,Mumbai,Semi-Furnished,2,361.0,1.0,4
1,20000,450,Carpet Area,Mumbai,Unfurnished,1,450.0,1.0,2
2,40000,680,Carpet Area,Mumbai,Furnished,2,340.0,1.0,4
2,43000,1150,Carpet Area,Mumbai,Unfurnished,2,575.0,1.0,4
2,44000,830,Carpet Area,Mumbai,Furnished,2,415.0,1.0,4
2,65000,710,Carpet Area,Mumbai,Semi-Furnished,2,355.0,1.0,4
2,45000,750,Carpet Area,Mumbai,Semi-Furnished,2,375.0,1.0,4
2,57000,800,Carpet Area,Mumbai,Unfurnished,2,400.0,1.0,4
1,57000,500,Carpet Area,Mumbai,Semi-Furnished,1,500.0,1.0,2
2,55000,800,Carpet Area,Mumbai,Furnished,2,400.0,1.0,4
2,13000,600,Carpet Area,Mumbai,Unfurnished,2,300.0,1.0,4
2,38000,560,Carpet Area,Mumbai,Furnished,2,280.0,1.0,4
2,45000,630,Carpet Area,Mumbai,Unfurnished,2,315.0,1.0,4
1,30000,320,Super Area,Mumbai,Furnished,1,320.0,1.0,2
2,47000,751,Carpet Area,Mumbai,Semi-Furnished,2,375.5,1.0,4
2,14000,570,Carpet Area,Mumbai,Furnished,2,285.0,1.0,4
2,55000,696,Carpet Area,Mumbai,Semi-Furnished,2,348.0,1.0,4
3,62000,950,Carpet Area,Mumbai,Furnished,3,316.6666666666667,1.0,6
2,42000,750,Carpet Area,Mumbai,Unfurnished,2,375.0,1.0,4
3,20000,737,Carpet Area,Mumbai,Semi-Furnished,3,245.66666666666666,1.0,6
2,41000,750,Carpet Area,Mumbai,Unfurnished,2,375.0,1.0,4
2,65000,760,Carpet Area,Mumbai,Semi-Furnished,2,380.0,1.0,4
2,50000,750,Carpet Area,Mumbai,Semi-Furnished,2,375.0,1.0,4
2,50000,1000,Super Area,Mumbai,Semi-Furnished,2,500.0,1.0,4
1,30000,570,Carpet Area,Mumbai,Unfurnished,1,570.0,1.0,2
2,60000,760,Carpet Area,Mumbai,Unfurnished,2,380.0,1.0,4
3,50000,1000,Carpet Area,Mumbai,Furnished,3,333.3333333333333,1.0,6
2,40000,720,Carpet Area,Mumbai,Unfurnished,2,360.0,1.0,4
1,34000,365,Carpet Area,Mumbai,Furnished,1,365.0,1.0,2
1,25000,400,Carpet Area,Mumbai,Unfurnished,1,400.0,1.0,2
2,40000,700,Carpet Area,Mumbai,Semi-Furnished,2,350.0,1.0,4
2,50000,900,Carpet Area,Mumbai,Semi-Furnished,2,450.0,1.0,4
2,38000,650,Carpet Area,Mumbai,Furnished,2,325.0,1.0,4
2,50000,680,Carpet Area,Mumbai,Unfurnished,2,340.0,1.0,4
3,65000,950,Carpet Area,Mumbai,Semi-Furnished,3,316.6666666666667,1.0,6
1,26000,450,Carpet Area,Mumbai,Unfurnished,1,450.0,1.0,2
2,60000,710,Carpet Area,Mumbai,Semi-Furnished,2,355.0,1.0,4
2,35000,700,Carpet Area,Mumbai,Unfurnished,2,350.0,1.0,4
1,18000,300,Super Area,Mumbai,Semi-Furnished,1,300.0,1.0,2
2,55000,720,Carpet Area,Mumbai,Unfurnished,2,360.0,1.0,4
3,65000,825,Carpet Area,Mumbai,Furnished,3,275.0,1.0,6
2,53000,750,Carpet Area,Mumbai,Semi-Furnished,2,375.0,1.0,4
1,18000,360,Carpet Area,Mumbai,Furnished,1,360.0,1.0,2
1,17500,400,Carpet Area,Mumbai,Unfurnished,1,400.0,1.0,2
2,18000,780,Carpet Area,Mumbai,Unfurnished,2,390.0,1.0,4
1,18000,375,Carpet Area,Mumbai,Unfurnished,1,375.0,1.0,2
2,55000,790,Carpet Area,Mumbai,Unfurnished,2,395.0,1.0,4
2,47000,661,Carpet Area,Mumbai,Semi-Furnished,2,330.5,1.0,4
2,35000,700,Carpet Area,Mumbai,Semi-Furnished,2,350.0,1.0,4
1,15000,420,Carpet Area,Mumbai,Semi-Furnished,1,420.0,1.0,2
2,50000,750,Carpet Area,Mumbai,Unfurnished,2,375.0,1.0,4
3,55000,1350,Carpet Area,Mumbai,Furnished,3,450.0,1.0,6
1,25000,330,Super Area,Mumbai,Semi-Furnished,1,330.0,1.0,2
2,50000,750,Carpet Area,Mumbai,Unfurnished,2,375.0,1.0,4
3,50000,1150,Carpet Area,Mumbai,Semi-Furnished,3,383.3333333333333,1.0,6
3,65000,1105,Carpet Area,Mumbai,Unfurnished,3,368.3333333333333,1.0,6
1,25000,410,Carpet Area,Mumbai,Semi-Furnished,1,410.0,1.0,2
1,21000,600,Super Area,Mumbai,Semi-Furnished,1,600.0,1.0,2
2,55000,720,Carpet Area,Mumbai,Furnished,2,360.0,1.0,4
1,27000,270,Carpet Area,Mumbai,Unfurnished,1,270.0,1.0,2
2,47000,585,Carpet Area,Mumbai,Semi-Furnished,2,292.5,1.0,4
2,45002,600,Carpet Area,Mumbai,Semi-Furnished,2,300.0,1.0,4
2,48000,700,Carpet Area,Mumbai,Semi-Furnished,2,350.0,1.0,4
1,18000,385,Carpet Area,Mumbai,Unfurnished,1,385.0,1.0,2
1,7500,500,Carpet Area,Mumbai,Semi-Furnished,1,500.0,1.0,2
2,50000,850,Carpet Area,Mumbai,Semi-Furnished,2,425.0,1.0,4
1,26000,400,Carpet Area,Mumbai,Unfurnished,1,400.0,1.0,2
2,17000,600,Carpet Area,Mumbai,Unfurnished,2,300.0,1.0,4
2,40000,750,Carpet Area,Mumbai,Semi-Furnished,2,375.0,1.0,4
2,43000,628,Carpet Area,Mumbai,Unfurnished,2,314.0,1.0,4
2,21000,630,Carpet Area,Mumbai,Semi-Furnished,2,315.0,1.0,4
2,40000,650,Carpet Area,Mumbai,Unfurnished,2,325.0,1.0,4
2,40000,845,Super Area,Mumbai,Furnished,2,422.5,1.0,4
2,20000,900,Super Area,Mumbai,Semi-Furnished,2,450.0,1.0,4
2,60000,807,Carpet Area,Mumbai,Unfurnished,2,403.5,1.0,4
2,35000,1100,Super Area,Mumbai,Semi-Furnished,2,550.0,1.0,4
2,6500,790,Super Area,Mumbai,Unfurnished,2,395.0,1.0,4
1,15000,380,Carpet Area,Mumbai,Unfurnished,1,380.0,1.0,2
2,38000,650,Carpet Area,Mumbai,Unfurnished,2,325.0,1.0,4
2,35000,800,Carpet Area,Mumbai,Semi-Furnished,2,400.0,1.0,4
2,32000,830,Super Area,Mumbai,Semi-Furnished,2,415.0,1.0,4
1,16000,410,Carpet Area,Mumbai,Unfurnished,1,410.0,1.0,2
1,8500,550,Super Area,Mumbai,Semi-Furnished,1,550.0,1.0,2
2,60000,630,Carpet Area,Mumbai,Unfurnished,2,315.0,1.0,4
2,65000,800,Carpet Area,Mumbai,Semi-Furnished,2,400.0,1.0,4
3,55000,950,Carpet Area,Mumbai,Unfurnished,3,316.6666666666667,1.0,6
2,40000,650,Super Area,Mumbai,Unfurnished,2,325.0,1.0,4
1,25000,380,Carpet Area,Mumbai,Semi-Furnished,1,380.0,1.0,2
2,55000,860,Carpet Area,Mumbai,Semi-Furnished,2,430.0,1.0,4
2,46000,680,Carpet Area,Mumbai,Semi-Furnished,2,340.0,1.0,4
2,55100,710,Carpet Area,Mumbai,Semi-Furnished,2,355.0,1.0,4
2,65000,700,Carpet Area,Mumbai,Furnished,2,350.0,1.0,4
1,33000,550,Carpet Area,Mumbai,Unfurnished,1,550.0,1.0,2
